id,task,stimulus,density,frequency,length,item,rt,log_rt,correct,NumID
N1,naming,word,high,low,6,potted,1.091,.0870947068509337,TRUE,26
N1,naming,word,low,high,6,engine,.876,-.132389188045746,TRUE,26
N1,naming,word,low,high,5,ideal,.71,-.342490308946776,TRUE,26
N1,naming,nonword,high,high,5,uares,1.21,.19062035960865,TRUE,26
N1,naming,nonword,low,high,4,xazz,.843,-.170788320980282,TRUE,26
N1,naming,word,high,high,4,fill,.785,-.242071561199729,TRUE,26
N1,naming,nonword,low,low,6,bounge,.662,-.412489723045129,TRUE,26
N1,naming,nonword,low,high,5,psems,.713,-.338273858567841,TRUE,26
N1,naming,word,low,low,4,jolt,.75,-.287682072451781,TRUE,26
N1,naming,nonword,low,high,6,flepts,.779,-.249744233111389,TRUE,26
N1,naming,nonword,high,low,5,vobes,.866,-.143870370419702,TRUE,26
N1,naming,word,low,high,5,names,.673,-.396009949337409,TRUE,26
N1,naming,nonword,high,high,5,clajs,.865,-.145025772050258,TRUE,26
N1,naming,word,high,low,4,hush,.628,-.465215112513938,TRUE,26
N1,naming,nonword,high,low,4,toop,.66,-.415515443961666,TRUE,26
N1,naming,word,high,high,5,forms,.781,-.247180129142451,TRUE,26
N1,naming,nonword,low,low,6,blorgs,.739,-.302457358033935,TRUE,26
N1,naming,nonword,low,high,4,zoae,.983,-.0171461588349705,TRUE,26
N1,naming,nonword,high,low,6,craked,1.08,.0769610411361284,TRUE,26
N1,naming,nonword,high,high,6,eapped,.883,-.124430078378177,TRUE,26
N1,naming,word,high,high,5,lines,.722,-.325730140089311,TRUE,26
N1,naming,word,low,high,5,tools,.601,-.509160344446929,TRUE,26
N1,naming,nonword,low,high,6,triues,1.428,.356274863917393,TRUE,26
N1,naming,word,low,low,5,joins,1.108,.102556588325092,TRUE,26
N1,naming,nonword,high,high,4,uile,1.352,.301584977620772,TRUE,26
N1,naming,word,high,low,6,cocked,.81,-.210721031315653,TRUE,26
N1,naming,word,high,low,5,pines,.586,-.534435489405125,TRUE,26
N1,naming,nonword,high,low,4,lois,2.093,.738598443463863,TRUE,26
N1,naming,nonword,low,low,6,cweate,.918,-.0855578883616465,TRUE,26
N1,naming,word,low,low,4,afar,.536,-.623621117911335,TRUE,26
N1,naming,nonword,low,low,5,snucs,.635,-.454130280089445,TRUE,26
N1,naming,word,high,high,6,rights,.764,-.269187489815617,TRUE,26
N1,naming,word,high,high,6,failed,.744,-.295714244149045,TRUE,26
N1,naming,word,high,low,4,curl,.548,-.601479992034121,TRUE,26
N1,naming,nonword,low,low,4,ufts,.669,-.401971218853909,TRUE,26
N1,naming,nonword,high,low,5,stams,.672,-.397496938458987,TRUE,26
N1,naming,word,high,high,6,shared,.621,-.476424197048658,TRUE,26
N1,naming,word,low,high,6,talked,.713,-.338273858567841,TRUE,26
N1,naming,nonword,high,low,5,dedge,.707,-.346724613085564,TRUE,26
N1,naming,word,high,low,5,stark,.783,-.244622582991334,TRUE,26
N1,naming,word,low,high,5,steel,.649,-.432322562278047,TRUE,26
N1,naming,nonword,high,high,4,siae,1.008,.00796816964917688,TRUE,26
N1,naming,word,low,low,4,loaf,.816,-.20334092401803,TRUE,26
N1,naming,word,low,low,5,lions,.717,-.332679438382517,TRUE,26
N1,naming,word,low,low,6,nudged,.701,-.355247391947547,TRUE,26
N1,naming,nonword,high,high,6,eoomed,.773,-.257476230394715,TRUE,26
N1,naming,nonword,low,high,5,moqld,1.893,.638162872227186,TRUE,26
N1,naming,word,low,low,6,draped,.834,-.18152187662339,TRUE,26
N1,naming,word,low,low,4,numb,.611,-.492658319810542,TRUE,26
N1,naming,nonword,high,low,6,blaced,.817,-.202116184122134,TRUE,26
